행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
울산광역시 남구 (3114000000),"39,343","40,989","41,915","43,169","44,569","46,412","49,325","51,495","53,064","54,329","132,974","133,669","134,140","134,372","134,986","135,311","137,925","138,512","139,525","140,162",울산광역시 남구 ,3114000000,울산광역시,남구 ,0.542
울산광역시 동구 (3117000000),"20,451","21,305","21,116","20,288","20,309","20,933","22,094","23,107","23,634","24,840","67,951","68,359","68,548","66,888","65,791","65,183","65,815","66,201","66,282","67,743",울산광역시 동구 ,3117000000,울산광역시,동구 ,0.248
울산광역시 북구 (3120000000),"14,479","15,439","16,199","16,992","17,868","20,034","21,743","23,513","24,489","25,577","65,589","67,469","69,693","72,416","75,403","81,144","83,781","85,815","87,153","87,865",울산광역시 북구 ,3120000000,울산광역시,북구 ,0.255
울산광역시 울주군 (3171000000),"26,116","27,810","28,368","29,903","31,247","32,929","34,943","37,225","38,809","39,677","83,191","86,481","87,298","89,485","91,474","93,959","96,160","98,489","100,128","100,548",울산광역시 울주군 ,3171000000,울산광역시,울주군 ,0.396
세종특별자치시  (3611000000),"22,463","26,464","30,520","35,209","39,699","43,719","48,131","53,562","55,780","55,882","62,807","81,806","94,343","109,490","123,762","135,408","144,275","153,649","159,386","160,835",세종특별자치시  ,3611000000,세종특별자치시,세종특별자치시,0.557
경기도 수원시 (4111000000),"147,110","152,602","158,461","166,583","176,097","183,195","192,488","203,352","210,890","216,408","454,072","463,154","472,194","483,558","492,939","498,836","506,950","517,822","528,482","537,078",경기도 수원시 ,4111000000,경기도,수원시 ,2.159
경기도 성남시 (4113000000),"127,830","131,114","133,187","137,214","142,582","147,532","154,631","157,586","157,679","158,989","388,340","390,968","394,087","396,403","398,412","400,460","407,912","409,320","408,195","409,602",경기도 성남시 ,4113000000,경기도,성남시 ,1.586
경기도 의정부시 (4115000000),"53,234","54,970","56,837","59,101","62,895","66,663","74,614","77,805","79,847","80,645","169,671","172,392","175,948","179,505","185,319","190,760","201,630","205,792","208,352","209,891",경기도 의정부시 ,4115000000,경기도,의정부시 ,0.804
경기도 안양시 (4117000000),"60,658","61,118","61,692","61,595","63,342","65,570","67,258","71,000","72,496","73,042","223,249","223,779","225,163","223,172","222,361","222,589","220,552","224,620","227,475","227,627",경기도 안양시 ,4117000000,경기도,안양시 ,0.729
경기도 부천시 (4119000000),"97,372","98,113","100,360","103,176","107,010","111,218","117,409","122,102","122,803","124,962","327,462","327,617","331,797","335,384","338,759","340,160","344,495","347,024","344,135","344,096",경기도 부천시 ,4119000000,경기도,부천시 ,1.247
경기도 광명시 (4121000000),"33,593","33,453","34,070","35,413","37,767","38,262","37,362","37,730","37,255","35,540","129,039","128,208","127,461","127,168","128,126","126,001","120,560","119,817","118,493","115,114",경기도 광명시 ,4121000000,경기도,광명시 ,0.355
경기도 평택시 (4122000000),"64,763","69,169","73,284","78,698","84,789","91,247","102,721","113,932","119,049","123,851","181,801","189,122","195,970","204,252","214,409","226,020","243,838","262,097","271,362","279,835",경기도 평택시 ,4122000000,경기도,평택시 ,1.236
경기도 동두천시 (4125000000),"15,929","16,156","16,323","16,488","17,184","17,646","18,495","19,015","19,142","19,405","41,603","42,094","42,455","42,420","42,919","42,999","43,874","44,369","43,973","43,366",경기도 동두천시 ,4125000000,경기도,동두천시 ,0.194
경기도 안산시 (4127000000),"99,992","100,199","100,067","100,418","102,667","104,666","110,976","117,164","118,511","118,613","283,527","281,865","280,524","278,240","276,662","277,331","286,061","292,113","291,091","288,567",경기도 안산시 ,4127000000,경기도,안산시 ,1.183
경기도 고양시 (4128000000),"112,464","116,344","121,020","126,344","133,338","142,220","151,695","158,862","162,907","165,130","382,046","393,093","401,772","408,816","417,607","434,028","448,574","456,852","461,459","464,380",경기도 고양시 ,4128000000,경기도,고양시 ,1.647
경기도 과천시 (4129000000),"6,531","6,613","6,525","5,603","5,544","5,627","5,923","6,635","6,619","6,123","25,251","25,030","23,454","20,903","21,205","21,467","23,373","27,262","28,726","29,194",경기도 과천시 ,4129000000,경기도,과천시 ,0.061
